Instance,m,n,Size,Runtime_Setting_MS,Runtime_Setting_S,Repetitions,MinResult_ALNS,AvgResult_ALNS,StdResult_ALNS,AvgTime_ALNS,SuccessRuns_ALNS,FailedRuns_ALNS,FirstError_ALNS
Inst_m6_n30_pi0.2_TF0.4_R0.4_1.txt,6,30,30×6,2160.0000,2.1600,10,45.1300,45.1300,0.0000,2.1610,10,0,
Inst_m6_n30_pi0.2_TF0.4_R0.4_10.txt,6,30,30×6,2160.0000,2.1600,10,91.7600,91.7600,0.0000,2.1612,10,0,
Inst_m6_n30_pi0.2_TF0.4_R0.4_2.txt,6,30,30×6,2160.0000,2.1600,10,93.2900,94.2410,1.5313,2.1618,10,0,
Inst_m6_n30_pi0.2_TF0.4_R0.4_3.txt,6,30,30×6,2160.0000,2.1600,10,109.1200,110.1470,0.9758,2.1615,10,0,
Inst_m6_n30_pi0.2_TF0.4_R0.4_4.txt,6,30,30×6,2160.0000,2.1600,10,81.5300,82.4340,1.3300,2.1608,10,0,
Inst_m6_n30_pi0.2_TF0.4_R0.4_5.txt,6,30,30×6,2160.0000,2.1600,10,86.2800,88.6400,1.0987,2.1612,10,0,
Inst_m6_n30_pi0.2_TF0.4_R0.4_6.txt,6,30,30×6,2160.0000,2.1600,10,149.0200,149.0200,0.0000,2.1610,10,0,
Inst_m6_n30_pi0.2_TF0.4_R0.4_7.txt,6,30,30×6,2160.0000,2.1600,10,75.2100,75.2100,0.0000,2.1611,10,0,
Inst_m6_n30_pi0.2_TF0.4_R0.4_8.txt,6,30,30×6,2160.0000,2.1600,10,70.2700,70.3330,0.1253,2.1612,10,0,
Inst_m6_n30_pi0.2_TF0.4_R0.4_9.txt,6,30,30×6,2160.0000,2.1600,10,102.2500,102.2500,0.0000,2.1612,10,0,
Inst_m6_n30_pi0.2_TF0.4_R0.6_1.txt,6,30,30×6,2160.0000,2.1600,10,65.0800,65.0840,0.0084,2.1611,10,0,
Inst_m6_n30_pi0.2_TF0.4_R0.6_10.txt,6,30,30×6,2160.0000,2.1600,10,88.2000,88.2660,0.2087,2.1611,10,0,
Inst_m6_n30_pi0.2_TF0.4_R0.6_2.txt,6,30,30×6,2160.0000,2.1600,10,112.6300,113.0920,0.3366,2.1609,10,0,
Inst_m6_n30_pi0.2_TF0.4_R0.6_3.txt,6,30,30×6,2160.0000,2.1600,10,83.9600,84.1760,0.0759,2.1610,10,0,
Inst_m6_n30_pi0.2_TF0.4_R0.6_4.txt,6,30,30×6,2160.0000,2.1600,10,59.2500,59.2620,0.0103,2.1614,10,0,
Inst_m6_n30_pi0.2_TF0.4_R0.6_5.txt,6,30,30×6,2160.0000,2.1600,10,51.2400,51.2400,0.0000,2.1612,10,0,
Inst_m6_n30_pi0.2_TF0.4_R0.6_6.txt,6,30,30×6,2160.0000,2.1600,10,91.2900,91.7930,0.4885,2.1612,10,0,
Inst_m6_n30_pi0.2_TF0.4_R0.6_7.txt,6,30,30×6,2160.0000,2.1600,10,118.7600,118.7600,0.0000,2.1614,10,0,
Inst_m6_n30_pi0.2_TF0.4_R0.6_8.txt,6,30,30×6,2160.0000,2.1600,10,166.0500,166.0500,0.0000,2.1609,10,0,
Inst_m6_n30_pi0.2_TF0.4_R0.6_9.txt,6,30,30×6,2160.0000,2.1600,10,122.9600,122.9600,0.0000,2.1612,10,0,
Inst_m6_n30_pi0.2_TF0.6_R0.4_1.txt,6,30,30×6,2160.0000,2.1600,10,81.0600,81.4070,0.5632,2.1611,10,0,
Inst_m6_n30_pi0.2_TF0.6_R0.4_10.txt,6,30,30×6,2160.0000,2.1600,10,105.1100,105.9850,0.6038,2.1608,10,0,
Inst_m6_n30_pi0.2_TF0.6_R0.4_2.txt,6,30,30×6,2160.0000,2.1600,10,104.5800,104.5800,0.0000,2.1611,10,0,
Inst_m6_n30_pi0.2_TF0.6_R0.4_3.txt,6,30,30×6,2160.0000,2.1600,10,132.0800,133.3540,1.1101,2.1612,10,0,
Inst_m6_n30_pi0.2_TF0.6_R0.4_4.txt,6,30,30×6,2160.0000,2.1600,10,98.9900,100.1770,0.9207,2.1612,10,0,
Inst_m6_n30_pi0.2_TF0.6_R0.4_5.txt,6,30,30×6,2160.0000,2.1600,10,93.5800,93.5800,0.0000,2.1608,10,0,
Inst_m6_n30_pi0.2_TF0.6_R0.4_6.txt,6,30,30×6,2160.0000,2.1600,10,86.5400,86.5400,0.0000,2.1609,10,0,
Inst_m6_n30_pi0.2_TF0.6_R0.4_7.txt,6,30,30×6,2160.0000,2.1600,10,87.1700,87.3270,0.4965,2.1609,10,0,
Inst_m6_n30_pi0.2_TF0.6_R0.4_8.txt,6,30,30×6,2160.0000,2.1600,10,107.0100,107.5060,0.6403,2.1614,10,0,
Inst_m6_n30_pi0.2_TF0.6_R0.4_9.txt,6,30,30×6,2160.0000,2.1600,10,81.4100,81.4100,0.0000,2.1613,10,0,
Inst_m6_n30_pi0.2_TF0.6_R0.6_1.txt,6,30,30×6,2160.0000,2.1600,10,141.5900,141.5900,0.0000,2.1610,10,0,
Inst_m6_n30_pi0.2_TF0.6_R0.6_10.txt,6,30,30×6,2160.0000,2.1600,10,172.5300,172.5300,0.0000,2.1610,10,0,
Inst_m6_n30_pi0.2_TF0.6_R0.6_2.txt,6,30,30×6,2160.0000,2.1600,10,116.1000,121.7620,3.3033,2.1609,10,0,
Inst_m6_n30_pi0.2_TF0.6_R0.6_3.txt,6,30,30×6,2160.0000,2.1600,10,76.9000,77.1490,0.7874,2.1611,10,0,
Inst_m6_n30_pi0.2_TF0.6_R0.6_4.txt,6,30,30×6,2160.0000,2.1600,10,187.1000,188.2860,1.6854,2.1609,10,0,
Inst_m6_n30_pi0.2_TF0.6_R0.6_5.txt,6,30,30×6,2160.0000,2.1600,10,114.3900,114.9320,0.6132,2.1609,10,0,
Inst_m6_n30_pi0.2_TF0.6_R0.6_6.txt,6,30,30×6,2160.0000,2.1600,10,171.3500,174.2590,1.5036,2.1609,10,0,
Inst_m6_n30_pi0.2_TF0.6_R0.6_7.txt,6,30,30×6,2160.0000,2.1600,10,78.0500,78.1280,0.1644,2.1615,10,0,
Inst_m6_n30_pi0.2_TF0.6_R0.6_8.txt,6,30,30×6,2160.0000,2.1600,10,100.9000,101.0020,0.3226,2.1614,10,0,
Inst_m6_n30_pi0.2_TF0.6_R0.6_9.txt,6,30,30×6,2160.0000,2.1600,10,132.1900,133.6510,1.4315,2.1609,10,0,
Inst_m6_n30_pi0.5_TF0.4_R0.4_1.txt,6,30,30×6,2160.0000,2.1600,10,288.5500,288.7780,0.4807,2.1610,10,0,
Inst_m6_n30_pi0.5_TF0.4_R0.4_10.txt,6,30,30×6,2160.0000,2.1600,10,358.0400,358.0400,0.0000,2.1613,10,0,
Inst_m6_n30_pi0.5_TF0.4_R0.4_2.txt,6,30,30×6,2160.0000,2.1600,10,236.6300,236.6300,0.0000,2.1609,10,0,
Inst_m6_n30_pi0.5_TF0.4_R0.4_3.txt,6,30,30×6,2160.0000,2.1600,10,265.0700,269.4210,1.9761,2.1611,10,0,
Inst_m6_n30_pi0.5_TF0.4_R0.4_4.txt,6,30,30×6,2160.0000,2.1600,10,256.6200,256.6200,0.0000,2.1613,10,0,
Inst_m6_n30_pi0.5_TF0.4_R0.4_5.txt,6,30,30×6,2160.0000,2.1600,10,216.1600,216.1600,0.0000,2.1614,10,0,
Inst_m6_n30_pi0.5_TF0.4_R0.4_6.txt,6,30,30×6,2160.0000,2.1600,10,125.4800,125.4800,0.0000,2.1612,10,0,
Inst_m6_n30_pi0.5_TF0.4_R0.4_7.txt,6,30,30×6,2160.0000,2.1600,10,229.8400,229.8400,0.0000,2.1610,10,0,
Inst_m6_n30_pi0.5_TF0.4_R0.4_8.txt,6,30,30×6,2160.0000,2.1600,10,166.9900,166.9900,0.0000,2.1612,10,0,
Inst_m6_n30_pi0.5_TF0.4_R0.4_9.txt,6,30,30×6,2160.0000,2.1600,10,334.5200,336.3090,1.3803,2.1612,10,0,
Inst_m6_n30_pi0.5_TF0.4_R0.6_1.txt,6,30,30×6,2160.0000,2.1600,10,170.5100,170.5100,0.0000,2.1612,10,0,
Inst_m6_n30_pi0.5_TF0.4_R0.6_10.txt,6,30,30×6,2160.0000,2.1600,10,137.2200,139.3140,1.8022,2.1612,10,0,
Inst_m6_n30_pi0.5_TF0.4_R0.6_2.txt,6,30,30×6,2160.0000,2.1600,10,154.7100,157.1660,2.6065,2.1614,10,0,
Inst_m6_n30_pi0.5_TF0.4_R0.6_3.txt,6,30,30×6,2160.0000,2.1600,10,355.1300,355.1300,0.0000,2.1611,10,0,
Inst_m6_n30_pi0.5_TF0.4_R0.6_4.txt,6,30,30×6,2160.0000,2.1600,10,162.0000,162.0000,0.0000,2.1612,10,0,
Inst_m6_n30_pi0.5_TF0.4_R0.6_5.txt,6,30,30×6,2160.0000,2.1600,10,174.3300,175.1820,0.6043,2.1607,10,0,
Inst_m6_n30_pi0.5_TF0.4_R0.6_6.txt,6,30,30×6,2160.0000,2.1600,10,384.8900,385.5900,0.9952,2.1605,10,0,
Inst_m6_n30_pi0.5_TF0.4_R0.6_7.txt,6,30,30×6,2160.0000,2.1600,10,324.5000,324.5000,0.0000,2.1617,10,0,
Inst_m6_n30_pi0.5_TF0.4_R0.6_8.txt,6,30,30×6,2160.0000,2.1600,10,255.5100,256.9810,0.7484,2.1613,10,0,
Inst_m6_n30_pi0.5_TF0.4_R0.6_9.txt,6,30,30×6,2160.0000,2.1600,10,151.7900,151.7900,0.0000,2.1610,10,0,
Inst_m6_n30_pi0.5_TF0.6_R0.4_1.txt,6,30,30×6,2160.0000,2.1600,10,173.5400,174.4370,0.9015,2.1610,10,0,
Inst_m6_n30_pi0.5_TF0.6_R0.4_10.txt,6,30,30×6,2160.0000,2.1600,10,109.8300,110.0690,0.5041,2.1608,10,0,
Inst_m6_n30_pi0.5_TF0.6_R0.4_2.txt,6,30,30×6,2160.0000,2.1600,10,127.4300,127.4300,0.0000,2.1611,10,0,
Inst_m6_n30_pi0.5_TF0.6_R0.4_3.txt,6,30,30×6,2160.0000,2.1600,10,213.0300,215.9610,2.5750,2.1609,10,0,
Inst_m6_n30_pi0.5_TF0.6_R0.4_4.txt,6,30,30×6,2160.0000,2.1600,10,371.8900,372.0070,0.0411,2.1612,10,0,
Inst_m6_n30_pi0.5_TF0.6_R0.4_5.txt,6,30,30×6,2160.0000,2.1600,10,332.9600,333.3880,0.7389,2.1615,10,0,
Inst_m6_n30_pi0.5_TF0.6_R0.4_6.txt,6,30,30×6,2160.0000,2.1600,10,269.4100,270.5430,1.1777,2.1609,10,0,
Inst_m6_n30_pi0.5_TF0.6_R0.4_7.txt,6,30,30×6,2160.0000,2.1600,10,130.1600,130.1600,0.0000,2.1610,10,0,
Inst_m6_n30_pi0.5_TF0.6_R0.4_8.txt,6,30,30×6,2160.0000,2.1600,10,155.8700,155.8700,0.0000,2.1614,10,0,
Inst_m6_n30_pi0.5_TF0.6_R0.4_9.txt,6,30,30×6,2160.0000,2.1600,10,243.0200,243.2400,0.2319,2.1611,10,0,
Inst_m6_n30_pi0.5_TF0.6_R0.6_1.txt,6,30,30×6,2160.0000,2.1600,10,438.1100,438.1100,0.0000,2.1612,10,0,
Inst_m6_n30_pi0.5_TF0.6_R0.6_10.txt,6,30,30×6,2160.0000,2.1600,10,178.6700,180.6700,1.3744,2.1614,10,0,
Inst_m6_n30_pi0.5_TF0.6_R0.6_2.txt,6,30,30×6,2160.0000,2.1600,10,366.6600,366.6600,0.0000,2.1612,10,0,
Inst_m6_n30_pi0.5_TF0.6_R0.6_3.txt,6,30,30×6,2160.0000,2.1600,10,396.2100,396.2100,0.0000,2.1611,10,0,
Inst_m6_n30_pi0.5_TF0.6_R0.6_4.txt,6,30,30×6,2160.0000,2.1600,10,327.3500,329.9690,6.4554,2.1611,10,0,
Inst_m6_n30_pi0.5_TF0.6_R0.6_5.txt,6,30,30×6,2160.0000,2.1600,10,402.4800,402.8000,1.0119,2.1613,10,0,
Inst_m6_n30_pi0.5_TF0.6_R0.6_6.txt,6,30,30×6,2160.0000,2.1600,10,124.3800,124.3800,0.0000,2.1613,10,0,
Inst_m6_n30_pi0.5_TF0.6_R0.6_7.txt,6,30,30×6,2160.0000,2.1600,10,291.8700,291.8700,0.0000,2.1613,10,0,
Inst_m6_n30_pi0.5_TF0.6_R0.6_8.txt,6,30,30×6,2160.0000,2.1600,10,250.1200,251.8780,2.8578,2.1614,10,0,
Inst_m6_n30_pi0.5_TF0.6_R0.6_9.txt,6,30,30×6,2160.0000,2.1600,10,783.8700,800.7280,18.3172,2.1612,10,0,
Inst_m6_n30_pi1.0_TF0.4_R0.4_1.txt,6,30,30×6,2160.0000,2.1600,10,250.1500,250.4810,0.8964,2.1617,10,0,
Inst_m6_n30_pi1.0_TF0.4_R0.4_10.txt,6,30,30×6,2160.0000,2.1600,10,451.3800,451.3800,0.0000,2.1610,10,0,
Inst_m6_n30_pi1.0_TF0.4_R0.4_2.txt,6,30,30×6,2160.0000,2.1600,10,269.5500,269.5500,0.0000,2.1615,10,0,
Inst_m6_n30_pi1.0_TF0.4_R0.4_3.txt,6,30,30×6,2160.0000,2.1600,10,675.6300,677.1030,1.5914,2.1610,10,0,
Inst_m6_n30_pi1.0_TF0.4_R0.4_4.txt,6,30,30×6,2160.0000,2.1600,10,409.7700,409.9860,0.6831,2.1616,10,0,
Inst_m6_n30_pi1.0_TF0.4_R0.4_5.txt,6,30,30×6,2160.0000,2.1600,10,279.4000,280.1350,0.7868,2.1609,10,0,
Inst_m6_n30_pi1.0_TF0.4_R0.4_6.txt,6,30,30×6,2160.0000,2.1600,10,723.4400,728.4080,3.4884,2.1612,10,0,
Inst_m6_n30_pi1.0_TF0.4_R0.4_7.txt,6,30,30×6,2160.0000,2.1600,10,863.6800,864.0300,0.3689,2.1613,10,0,
Inst_m6_n30_pi1.0_TF0.4_R0.4_8.txt,6,30,30×6,2160.0000,2.1600,10,470.6500,470.6500,0.0000,2.1613,10,0,
Inst_m6_n30_pi1.0_TF0.4_R0.4_9.txt,6,30,30×6,2160.0000,2.1600,10,257.2500,258.0680,1.4875,2.1613,10,0,
Inst_m6_n30_pi1.0_TF0.4_R0.6_1.txt,6,30,30×6,2160.0000,2.1600,10,632.1800,632.1800,0.0000,2.1613,10,0,
Inst_m6_n30_pi1.0_TF0.4_R0.6_10.txt,6,30,30×6,2160.0000,2.1600,10,514.6200,515.1880,1.1974,2.1610,10,0,
Inst_m6_n30_pi1.0_TF0.4_R0.6_2.txt,6,30,30×6,2160.0000,2.1600,10,615.3200,615.7040,0.8406,2.1611,10,0,
Inst_m6_n30_pi1.0_TF0.4_R0.6_3.txt,6,30,30×6,2160.0000,2.1600,10,319.7300,320.3200,0.2441,2.1611,10,0,
Inst_m6_n30_pi1.0_TF0.4_R0.6_4.txt,6,30,30×6,2160.0000,2.1600,10,341.3200,341.3200,0.0000,2.1611,10,0,
Inst_m6_n30_pi1.0_TF0.4_R0.6_5.txt,6,30,30×6,2160.0000,2.1600,10,601.1700,601.1700,0.0000,2.1611,10,0,
Inst_m6_n30_pi1.0_TF0.4_R0.6_6.txt,6,30,30×6,2160.0000,2.1600,10,683.9700,683.9700,0.0000,2.1612,10,0,
Inst_m6_n30_pi1.0_TF0.4_R0.6_7.txt,6,30,30×6,2160.0000,2.1600,10,541.4100,541.4100,0.0000,2.1613,10,0,
Inst_m6_n30_pi1.0_TF0.4_R0.6_8.txt,6,30,30×6,2160.0000,2.1600,10,447.1800,448.2460,1.8310,2.1609,10,0,
Inst_m6_n30_pi1.0_TF0.4_R0.6_9.txt,6,30,30×6,2160.0000,2.1600,10,479.8900,479.8900,0.0000,2.1610,10,0,
Inst_m6_n30_pi1.0_TF0.6_R0.4_1.txt,6,30,30×6,2160.0000,2.1600,10,696.3300,696.3300,0.0000,2.1611,10,0,
Inst_m6_n30_pi1.0_TF0.6_R0.4_10.txt,6,30,30×6,2160.0000,2.1600,10,482.5300,484.9310,1.4119,2.1613,10,0,
Inst_m6_n30_pi1.0_TF0.6_R0.4_2.txt,6,30,30×6,2160.0000,2.1600,10,524.2300,524.2300,0.0000,2.1610,10,0,
Inst_m6_n30_pi1.0_TF0.6_R0.4_3.txt,6,30,30×6,2160.0000,2.1600,10,696.6100,706.6320,5.2390,2.1613,10,0,
Inst_m6_n30_pi1.0_TF0.6_R0.4_4.txt,6,30,30×6,2160.0000,2.1600,10,582.6000,596.1330,11.9533,2.1613,10,0,
Inst_m6_n30_pi1.0_TF0.6_R0.4_5.txt,6,30,30×6,2160.0000,2.1600,10,552.9800,552.9800,0.0000,2.1616,10,0,
Inst_m6_n30_pi1.0_TF0.6_R0.4_6.txt,6,30,30×6,2160.0000,2.1600,10,367.1700,368.7760,1.9822,2.1615,10,0,
Inst_m6_n30_pi1.0_TF0.6_R0.4_7.txt,6,30,30×6,2160.0000,2.1600,10,748.3800,748.3800,0.0000,2.1611,10,0,
Inst_m6_n30_pi1.0_TF0.6_R0.4_8.txt,6,30,30×6,2160.0000,2.1600,10,378.0700,378.0700,0.0000,2.1614,10,0,
Inst_m6_n30_pi1.0_TF0.6_R0.4_9.txt,6,30,30×6,2160.0000,2.1600,10,426.8400,433.0160,6.0596,2.1610,10,0,
Inst_m6_n30_pi1.0_TF0.6_R0.6_1.txt,6,30,30×6,2160.0000,2.1600,10,609.9200,612.3870,2.4814,2.1618,10,0,
Inst_m6_n30_pi1.0_TF0.6_R0.6_10.txt,6,30,30×6,2160.0000,2.1600,10,450.3300,457.6060,6.1353,2.1614,10,0,
Inst_m6_n30_pi1.0_TF0.6_R0.6_2.txt,6,30,30×6,2160.0000,2.1600,10,374.4700,374.4700,0.0000,2.1611,10,0,
Inst_m6_n30_pi1.0_TF0.6_R0.6_3.txt,6,30,30×6,2160.0000,2.1600,10,446.8600,447.8850,3.2413,2.1615,10,0,
Inst_m6_n30_pi1.0_TF0.6_R0.6_4.txt,6,30,30×6,2160.0000,2.1600,10,419.3600,421.3280,1.0372,2.1616,10,0,
Inst_m6_n30_pi1.0_TF0.6_R0.6_5.txt,6,30,30×6,2160.0000,2.1600,10,248.8500,248.8500,0.0000,2.1610,10,0,
Inst_m6_n30_pi1.0_TF0.6_R0.6_6.txt,6,30,30×6,2160.0000,2.1600,10,407.1000,407.1000,0.0000,2.1610,10,0,
Inst_m6_n30_pi1.0_TF0.6_R0.6_7.txt,6,30,30×6,2160.0000,2.1600,10,638.8100,638.8100,0.0000,2.1611,10,0,
Inst_m6_n30_pi1.0_TF0.6_R0.6_8.txt,6,30,30×6,2160.0000,2.1600,10,909.7400,909.7400,0.0000,2.1613,10,0,
Inst_m6_n30_pi1.0_TF0.6_R0.6_9.txt,6,30,30×6,2160.0000,2.1600,10,620.1400,620.2500,0.3479,2.1614,10,0,
Inst_m6_n30_pi2.0_TF0.4_R0.4_1.txt,6,30,30×6,2160.0000,2.1600,10,1317.2900,1317.2900,0.0000,2.1611,10,0,
Inst_m6_n30_pi2.0_TF0.4_R0.4_10.txt,6,30,30×6,2160.0000,2.1600,10,1092.2700,1092.6300,1.1384,2.1613,10,0,
Inst_m6_n30_pi2.0_TF0.4_R0.4_2.txt,6,30,30×6,2160.0000,2.1600,10,1540.4800,1540.4800,0.0000,2.1610,10,0,
Inst_m6_n30_pi2.0_TF0.4_R0.4_3.txt,6,30,30×6,2160.0000,2.1600,10,498.9200,502.9360,2.2020,2.1611,10,0,
Inst_m6_n30_pi2.0_TF0.4_R0.4_4.txt,6,30,30×6,2160.0000,2.1600,10,831.4100,831.4100,0.0000,2.1612,10,0,
Inst_m6_n30_pi2.0_TF0.4_R0.4_5.txt,6,30,30×6,2160.0000,2.1600,10,733.9100,733.9100,0.0000,2.1613,10,0,
Inst_m6_n30_pi2.0_TF0.4_R0.4_6.txt,6,30,30×6,2160.0000,2.1600,10,756.6700,756.6700,0.0000,2.1608,10,0,
Inst_m6_n30_pi2.0_TF0.4_R0.4_7.txt,6,30,30×6,2160.0000,2.1600,10,1140.7000,1140.7000,0.0000,2.1613,10,0,
Inst_m6_n30_pi2.0_TF0.4_R0.4_8.txt,6,30,30×6,2160.0000,2.1600,10,1044.1900,1044.1900,0.0000,2.1611,10,0,
Inst_m6_n30_pi2.0_TF0.4_R0.4_9.txt,6,30,30×6,2160.0000,2.1600,10,302.9300,304.2380,1.0168,2.1610,10,0,
Inst_m6_n30_pi2.0_TF0.4_R0.6_1.txt,6,30,30×6,2160.0000,2.1600,10,2100.7400,2100.7400,0.0000,2.1613,10,0,
Inst_m6_n30_pi2.0_TF0.4_R0.6_10.txt,6,30,30×6,2160.0000,2.1600,10,848.3600,863.4040,8.0578,2.1610,10,0,
Inst_m6_n30_pi2.0_TF0.4_R0.6_2.txt,6,30,30×6,2160.0000,2.1600,10,1050.7800,1070.7290,10.4500,2.1612,10,0,
Inst_m6_n30_pi2.0_TF0.4_R0.6_3.txt,6,30,30×6,2160.0000,2.1600,10,620.7900,621.5700,1.0070,2.1611,10,0,
Inst_m6_n30_pi2.0_TF0.4_R0.6_4.txt,6,30,30×6,2160.0000,2.1600,10,716.8800,719.3380,4.1114,2.1613,10,0,
Inst_m6_n30_pi2.0_TF0.4_R0.6_5.txt,6,30,30×6,2160.0000,2.1600,10,1351.4200,1353.8200,3.8644,2.1610,10,0,
Inst_m6_n30_pi2.0_TF0.4_R0.6_6.txt,6,30,30×6,2160.0000,2.1600,10,672.6500,673.3640,0.6145,2.1614,10,0,
Inst_m6_n30_pi2.0_TF0.4_R0.6_7.txt,6,30,30×6,2160.0000,2.1600,10,905.0000,913.0820,6.1092,2.1608,10,0,
Inst_m6_n30_pi2.0_TF0.4_R0.6_8.txt,6,30,30×6,2160.0000,2.1600,10,1115.1500,1116.7250,3.7689,2.1614,10,0,
Inst_m6_n30_pi2.0_TF0.4_R0.6_9.txt,6,30,30×6,2160.0000,2.1600,10,1271.6400,1272.6570,1.6375,2.1612,10,0,
Inst_m6_n30_pi2.0_TF0.6_R0.4_1.txt,6,30,30×6,2160.0000,2.1600,10,1114.8100,1116.7880,4.1700,2.1610,10,0,
Inst_m6_n30_pi2.0_TF0.6_R0.4_10.txt,6,30,30×6,2160.0000,2.1600,10,617.0700,617.4340,0.2512,2.1611,10,0,
Inst_m6_n30_pi2.0_TF0.6_R0.4_2.txt,6,30,30×6,2160.0000,2.1600,10,1215.2500,1218.9100,2.7214,2.1612,10,0,
Inst_m6_n30_pi2.0_TF0.6_R0.4_3.txt,6,30,30×6,2160.0000,2.1600,10,1030.8000,1032.0290,1.6476,2.1612,10,0,
Inst_m6_n30_pi2.0_TF0.6_R0.4_4.txt,6,30,30×6,2160.0000,2.1600,10,956.2000,956.2000,0.0000,2.1609,10,0,
Inst_m6_n30_pi2.0_TF0.6_R0.4_5.txt,6,30,30×6,2160.0000,2.1600,10,919.4800,919.5220,0.0676,2.1614,10,0,
Inst_m6_n30_pi2.0_TF0.6_R0.4_6.txt,6,30,30×6,2160.0000,2.1600,10,663.0500,663.6100,1.7709,2.1612,10,0,
Inst_m6_n30_pi2.0_TF0.6_R0.4_7.txt,6,30,30×6,2160.0000,2.1600,10,631.0700,631.0700,0.0000,2.1614,10,0,
Inst_m6_n30_pi2.0_TF0.6_R0.4_8.txt,6,30,30×6,2160.0000,2.1600,10,995.1100,995.1100,0.0000,2.1613,10,0,
Inst_m6_n30_pi2.0_TF0.6_R0.4_9.txt,6,30,30×6,2160.0000,2.1600,10,1419.1300,1419.1300,0.0000,2.1610,10,0,
Inst_m6_n30_pi2.0_TF0.6_R0.6_1.txt,6,30,30×6,2160.0000,2.1600,10,1041.4000,1041.4000,0.0000,2.1611,10,0,
Inst_m6_n30_pi2.0_TF0.6_R0.6_10.txt,6,30,30×6,2160.0000,2.1600,10,1194.9800,1197.4980,2.4502,2.1612,10,0,
Inst_m6_n30_pi2.0_TF0.6_R0.6_2.txt,6,30,30×6,2160.0000,2.1600,10,1473.8500,1473.8500,0.0000,2.1611,10,0,
Inst_m6_n30_pi2.0_TF0.6_R0.6_3.txt,6,30,30×6,2160.0000,2.1600,10,1277.4500,1277.4500,0.0000,2.1611,10,0,
Inst_m6_n30_pi2.0_TF0.6_R0.6_4.txt,6,30,30×6,2160.0000,2.1600,10,1245.5200,1245.5200,0.0000,2.1611,10,0,
Inst_m6_n30_pi2.0_TF0.6_R0.6_5.txt,6,30,30×6,2160.0000,2.1600,10,1556.8200,1556.8200,0.0000,2.1610,10,0,
Inst_m6_n30_pi2.0_TF0.6_R0.6_6.txt,6,30,30×6,2160.0000,2.1600,10,691.1000,691.1000,0.0000,2.1609,10,0,
Inst_m6_n30_pi2.0_TF0.6_R0.6_7.txt,6,30,30×6,2160.0000,2.1600,10,812.3900,822.6420,7.6191,2.1609,10,0,
Inst_m6_n30_pi2.0_TF0.6_R0.6_8.txt,6,30,30×6,2160.0000,2.1600,10,1845.4000,1845.4000,0.0000,2.1615,10,0,
Inst_m6_n30_pi2.0_TF0.6_R0.6_9.txt,6,30,30×6,2160.0000,2.1600,10,679.3900,679.3900,0.0000,2.1615,10,0,
Inst_m6_n48_pi0.2_TF0.4_R0.4_1.txt,6,48,48×6,3456.0000,3.4560,10,116.9500,119.6020,1.6954,3.4572,10,0,
Inst_m6_n48_pi0.2_TF0.4_R0.4_10.txt,6,48,48×6,3456.0000,3.4560,10,156.1200,156.4180,0.3871,3.4567,10,0,
Inst_m6_n48_pi0.2_TF0.4_R0.4_2.txt,6,48,48×6,3456.0000,3.4560,10,116.7600,120.3820,1.3159,3.4574,10,0,
Inst_m6_n48_pi0.2_TF0.4_R0.4_3.txt,6,48,48×6,3456.0000,3.4560,10,133.6300,136.1740,1.5819,3.4572,10,0,
Inst_m6_n48_pi0.2_TF0.4_R0.4_4.txt,6,48,48×6,3456.0000,3.4560,10,129.1600,130.5430,0.7283,3.4573,10,0,
Inst_m6_n48_pi0.2_TF0.4_R0.4_5.txt,6,48,48×6,3456.0000,3.4560,10,151.2600,151.2600,0.0000,3.4573,10,0,
Inst_m6_n48_pi0.2_TF0.4_R0.4_6.txt,6,48,48×6,3456.0000,3.4560,10,160.3000,161.4170,1.2205,3.4570,10,0,
Inst_m6_n48_pi0.2_TF0.4_R0.4_7.txt,6,48,48×6,3456.0000,3.4560,10,142.9200,142.9200,0.0000,3.4573,10,0,
Inst_m6_n48_pi0.2_TF0.4_R0.4_8.txt,6,48,48×6,3456.0000,3.4560,10,88.9700,88.9700,0.0000,3.4573,10,0,
Inst_m6_n48_pi0.2_TF0.4_R0.4_9.txt,6,48,48×6,3456.0000,3.4560,10,163.7200,164.3570,0.3715,3.4566,10,0,
Inst_m6_n48_pi0.2_TF0.4_R0.6_1.txt,6,48,48×6,3456.0000,3.4560,10,150.8600,153.4320,1.4569,3.4573,10,0,
Inst_m6_n48_pi0.2_TF0.4_R0.6_10.txt,6,48,48×6,3456.0000,3.4560,10,264.6400,266.2660,1.4353,3.4571,10,0,
Inst_m6_n48_pi0.2_TF0.4_R0.6_2.txt,6,48,48×6,3456.0000,3.4560,10,146.5200,146.5200,0.0000,3.4570,10,0,
Inst_m6_n48_pi0.2_TF0.4_R0.6_3.txt,6,48,48×6,3456.0000,3.4560,10,140.9300,144.1330,3.4764,3.4573,10,0,
Inst_m6_n48_pi0.2_TF0.4_R0.6_4.txt,6,48,48×6,3456.0000,3.4560,10,117.6900,120.8580,2.8255,3.4571,10,0,
Inst_m6_n48_pi0.2_TF0.4_R0.6_5.txt,6,48,48×6,3456.0000,3.4560,10,225.6000,229.2340,2.6963,3.4572,10,0,
Inst_m6_n48_pi0.2_TF0.4_R0.6_6.txt,6,48,48×6,3456.0000,3.4560,10,121.1800,126.9660,3.0912,3.4572,10,0,
